# Product Backlog. Tab-separated, one card per row. Read by 03-seed.sh.
# Columns: id | type | sprint | owner | points | priority | epic | title | stories | files | branch | acceptance | notes | blocks
# Multi-value cells (stories, files, acceptance, blocks) use ';' as the separator. '-' means empty.
# 'notes' is free prose shown as the ## Notes section of the issue. 'blocks' non-empty marks the card a blocker.
# Lines starting with # are ignored. Do not use tabs inside a cell.
id	type	sprint	owner	points	priority	epic	title	stories	files	branch	acceptance	notes	blocks
P-02	task	1	Amirhossein	2	Must	Platform	nginx reverse proxy: serve the SPA, proxy /api to the backend, pass /ws upgrade headers	-	nginx/nginx.conf;docker-compose.yml	feat/p-02-nginx	The whole product is reachable on a single port;/api reaches Django;a WebSocket handshake on /ws succeeds (Upgrade and Connection headers passed through);uploaded media is served	architecture.tex puts nginx in front of both halves - one origin, so no CORS in production and one URL for a grader. Get the /ws upgrade headers right now even though real-time is a bonus, because retro-fitting them later is where this usually goes wrong.	A-08;F-07;RT-02
C-01	story	1	Amirhossein	2	Must	Channels	Channel and ChannelMember models and migration	US-4.1	backend/channels_app/models.py;backend/channels_app/migrations/	feat/us-4-1-channel-model	A channel has a name, description, image and owner;ChannelMember joins user to channel and carries a role FK;the migration applies clean;the ERD entities in ERD.tex are matched	US-4.1: 'As a user, I want to be able to create a new channel and become its admin, so that I have a space for discussion, message sharing and file sharing with multiple users.' Nothing channel-shaped exists in the codebase at all. Land the models on day 1 or 2 - four other people's cards are waiting on them. The app directory must be channels_app, not channels, or it collides with the Django Channels package.	C-02;C-03;C-04;R-03;F-04;F-05;A-10
A-02	story	1	Majid	2	Must	Accounts	Profile model, migration, serializer, and own-profile view/edit endpoint	US-10.1	backend/accounts/models.py;backend/accounts/serializers.py;backend/accounts/views.py;backend/accounts/urls.py	feat/us-10-1-profile-api	A user can read and update their own profile and nobody else's;the endpoint refuses an unauthenticated caller;the avatar upload path is under MEDIA_ROOT	US-10.1: 'As a user, I want to have a user profile and be able to edit it, so that I can keep my personal information up to date in the system.' Already written as Profile plus ProfileDetailView in users/. This card is to move it into accounts/ behind P-04, confirm it against the acceptance criteria, get it reviewed and merged through a pull request - it is not Done until it passes the full DoD.	-
A-03	story	1	Majid	1	Must	Accounts	Privacy-settings endpoint toggling allow_invites	US-5.4;SH.2	backend/accounts/models.py;backend/accounts/views.py;backend/accounts/urls.py	feat/us-5-4-privacy-api	The flag defaults to allowing invites;toggling it persists;the flag is readable by the group and channel add-member paths	US-5.4: 'As a user, I want to control who can add me to a group (or channel), so that no one can add me to a group without my permission.' SH.2 is the same requirement from the stakeholder conversation. The endpoint already exists as PrivacySettingsView, but note that GroupAddRemoveMemberView never actually checks the flag - the honouring of it is M-05 and C-04, and this card is what those read.	-
A-04	story	1	Majid	2	Must	Accounts	Registration endpoint and JWT login/refresh endpoints	US-1.1;US-1.2	backend/accounts/serializers.py;backend/accounts/views.py;backend/accounts/urls.py	feat/us-1-1-register-login	Registering with an existing username returns 400 with a readable message;passwords are stored hashed - a plain-text password fails the DoD;login returns access and refresh tokens;an expired access token is refreshable	US-1.1 register with username and password; US-1.2 log in with them. Already written with SimpleJWT (1 day / 7 day lifetimes, rotation on). Two things to finish: the route currently resolves to /api/api/auth/login/ (P-06 fixes the mount), and BLACKLIST_AFTER_ROTATION is set in settings while rest_framework_simplejwt.token_blacklist is not in INSTALLED_APPS - so rotation silently does not blacklist. G-04 depends on that being fixed.	-
M-01	story	1	Majid	2	Must	Messaging	Message model and migration: sender, recipient, group, text, media FK, timestamps, ordering	US-2.1	backend/messaging/models.py;backend/messaging/migrations/	feat/us-2-1-message-model	A message targets exactly one of a recipient or a group, never both;messages order chronologically;the migration exists and applies on an empty database	US-2.1: 'As a logged-in user, I want to be able to send and receive messages with other users, so that I can have continuous and personal communication.' The model is written and the dual-target rule is already enforced in MessageSerializer.validate - but there is NO migration for it, so a fresh clone never gets the table. Generating that migration is the actual work here (P-03 covers the makemigrations run; this card owns the model shape being right first). Add the channel/topic target now rather than later - C-03 and US-2.3 need it.	M-02;M-06;M-07;M-08;F-02;F-03;SC-02
M-02	story	1	Majid	2	Must	Messaging	Message list/create/detail API, scoped so a user only sees conversations they belong to	US-2.1;US-2.5	backend/messaging/serializers.py;backend/messaging/views.py;backend/messaging/urls.py	feat/us-2-1-message-api	Requesting a conversation you are not part of returns 403, not an empty list;messages come back in chronological order;the endpoint is paginated	US-2.5: 'As a user, I want to receive and view messages sent by others (in direct messages, groups or channels), so that I can stay up to date with conversations.' MessageListCreateView and MessageDetailView already exist and filter on ?user_id= / ?group_id=. Two gaps to close: with neither parameter the view returns everything the user can see rather than 403-ing on an out-of-scope request, and pagination is not configured.	-
F-00	task	1	Amir	3	Must	Messaging	Shared message primitives - avatar, timestamp, message bubble, composer - used by the DM, group and channel views alike	-	frontend/src/components/chat/primitives/	feat/f-00-chat-primitives	The DM view, the group view and the channel view all render through these components;there is exactly one message bubble implementation in the codebase, not three	Three different chat surfaces are coming - DM (F-03), channel topic (F-05) and group (U-09) - and they are the same UI with a different fetch. Build the primitives once on day 1 so the other three are wiring, not re-implementation. Note that the existing wired components use Tailwind class names while Tailwind is not a dependency and no directives exist in index.css, so those classes currently render unstyled: either add Tailwind or use the semantic classes already in src/index.css.	F-02;F-05;U-09
F-02	story	1	Amir	3	Must	Messaging	Chat view: message list with author and timestamp, plus the composer	US-2.1	frontend/src/components/chat/Chat.jsx	feat/us-2-1-chat-view	Messages render newest-last with author and time;the composer sends and clears;an empty conversation shows an empty state, not a spinner forever	US-2.1 in the UI. Chat.jsx exists and already opens a WebSocket, but it imports '../../api' which does not resolve, and AuthContext never fetches the user so it sends user_id: undefined - which makes the consumer skip persisting the message while still broadcasting it. Rebuild it on the F-00 primitives and read history over REST (M-02); the socket is a Sprint 2 bonus, not this card.	-
U-01	task	1	Ali	2	Must	Platform	React application shell and routing, with authenticated and guest route groups	-	frontend/src/App.jsx;frontend/src/main.jsx	feat/u-01-app-shell	Every screen that exists has a route;an unauthenticated visit to a private route redirects to /login and back after login;a bad URL shows a not-found screen rather than silently redirecting to /profile	The shell is already there with PrivateRoute and AuthProvider, but App.jsx only defines /login, /register, /profile and /chat/:groupId. The dashboard, dms, groups, channels, search, notifications and settings screens all navigate() to routes that do not exist, so the catch-all bounces them to /profile. Defining those routes is the work.	-
U-02	task	1	Ali	1	Must	Platform	Dashboard screen: navigation between DMs, groups and channels	-	frontend/src/components/dashboard/Dashboard.jsx	feat/u-02-dashboard	Every navigation target resolves to a real route;the signed-in user's name is shown;it is reachable as the landing screen after login	Dashboard.jsx exists as a static mockup with local useState and no API calls. Wire the navigation to the real routes from U-01 and show the real user from AuthContext.	-
U-03	task	1	Ali	2	Must	Messaging	Direct-messages screen: conversation list layout	-	frontend/src/components/dms/DirectMessages.jsx	feat/u-03-dm-screen	The conversation list renders from a prop or a hook rather than a hardcoded array;selecting a conversation opens the chat surface;an empty state is handled	DirectMessages.jsx exists as a static English mockup with mock data already stripped out. This card is the layout and selection behaviour; Amir wires it to the message API in F-03 next sprint, so keep the data source in one place so he only has to swap it.	-
B-01	task	1	Arvin	1	Must	Process	Order and partition the seeded Product Backlog: confirm Must / Nice / Won't on every card	-	GitHub Issues	-	Every issue on the board has a Priority;the Nice cards are exactly the two bonus features;every user story in user_stories_en.tex maps to at least one card, and any that does not is recorded as a gap	The backlog is seeded from scripts/gh/backlog.tsv, so this is not data entry - it is the Product Owner taking ownership of the ordering. methodology.md section 7.5 is the partitioning rule: Must is the mandatory product (3 of the 4 marks), Nice is real-time and scheduled messages (the 4th), Won't is parked and visible.	-
B-02	task	1	Arvin	1	Must	Process	Batch the team's open questions and put them to the TA stakeholder	-	-	-	Every open question from the team is asked in one message;the answers are written back onto the affected cards;anything that changes scope becomes a new card rather than an edit to a running sprint	Arvin is the only channel to the TA (execution-plan.md Part 3) so the stakeholder gets one consistent set of questions instead of six. Known open items: the exact delivery zip filename and the group number, and whether channel membership needs an invite flow at all given SH.1 chose direct adding.	-
G-03	task	1	Arvin	1	Must	Process	Run Planning Poker calibration on three sample stories; walk the team through DoR and DoD	-	-	-	All six have estimated at least once;everyone can state the six DoD items from memory;the 3-point reference story is agreed out loud	Four of the six of us have never estimated anything. Do this inside the Aug 6 Planning, not as a separate meeting. The reference is 3 points is roughly one focused day of one person's work; everything else is judged against it.	-
M-03	story	1	Arvin	1	Must	Accounts	Public profile endpoint - view another user's profile	US-10.2	backend/accounts/views.py;backend/accounts/serializers.py;backend/accounts/urls.py	feat/us-10-2-public-profile	Another user's profile returns display fields only - never email, password hash or privacy flags;requesting a non-existent user returns 404	US-10.2: 'As a user, I want to be able to view other users' profiles, so that I can better identify my contacts in the system.' There is no user lookup of any kind in the backend today - ProfileDetailView is self-only. Ali's U-06 screen needs this. Use a separate serializer rather than excluding fields from the existing one; excluding is how private fields leak back in later.	-
G-04	story	1	Arvin	2	Must	Accounts	Logout that actually invalidates: blacklist the refresh token server-side	US-1.3	backend/accounts/views.py;backend/accounts/urls.py;backend/core/settings.py	feat/us-1-3-logout	After logout the old refresh token returns 401;the access token is cleared client-side;logging in again issues a fresh pair	US-1.3: 'As a logged-in user, I want to be able to log out of my account, so that the security of my information is maintained.' There is no logout endpoint at all right now - the client just drops the token from localStorage, which is not logging out. settings.py already sets BLACKLIST_AFTER_ROTATION but rest_framework_simplejwt.token_blacklist is not in INSTALLED_APPS, so add it and run its migration.	-
R-02	story	2	Arman	3	Must	Roles	Role CRUD API: create, rename and delete named roles within a channel; set which permissions each grants	US-4.2;US-8.1;US-8.2	backend/roles/serializers.py;backend/roles/views.py;backend/roles/urls.py	feat/us-4-2-role-api	Only a holder of can_change_role or the channel owner may create or edit a role;a super-admin cannot grant a permission they do not themselves hold (US-8.2);deleting a role does not orphan its members	US-4.2 lets a channel admin assign differently named roles with varying permissions. US-8.2: 'As a channel super-admin, I want to be able to assign various capabilities that fall within my own permissions to user roles' - note 'within my own permissions', which is an actual constraint to implement, not decoration.	-
R-03	story	2	Arman	2	Must	Roles	Assign or change a member's role; a member can read the roles they hold	US-4.9;US-8.3	backend/roles/views.py;backend/channels_app/models.py	feat/us-4-9-assign-role	Changing a role needs can_change_role;the change takes effect on the next request with no restart;a member can read their own roles and nobody else's	US-4.9 change users' roles; US-8.3: 'As a user, I want to be able to receive the roles assigned to me in a channel, so that I can act according to the defined permissions.' Amir's F-06 reads this endpoint to decide which controls to show.	-
R-05	story	2	Arman	2	Must	Roles	Message deletion by a channel admin, a group admin, or a member holding can_delete_message	US-3.4;US-3.5;US-3.6;US-4.6;US-5.3	backend/messaging/views.py;backend/roles/services.py	feat/us-3-4-admin-delete	The author can always delete their own message;a member without the permission gets 403;the channel owner always succeeds;a group admin can delete in their group	US-3.4 channel admin deletes any message; US-3.5 group admin deletes any message; US-3.6 a channel member with the delete-others permission does too. user_stories_en.tex section Assumptions is explicit: in a group only the sender and the group admin may delete; in a channel only the sender, the channel admin, or a holder of the permission. Route every one of those decisions through roles.services - do not re-implement the check in the messaging view.	-
M-04	task	2	Arman	1	Must	Groups	GroupMember join entity per the ERD, replacing the bare many-to-many	-	backend/groups_app/models.py;backend/groups_app/migrations/	refactor/m-04-groupmember	GroupMember exists with the fields ERD.tex specifies;existing memberships survive the migration;the group API returns the same shape as before	ERD.tex models group membership as its own entity; the code uses a plain ManyToManyField. Brief Rule 12 grades alignment between the product and the Phase 1 design, and this is one of the two places a grader can spot a gap in thirty seconds. Do it before M-05 builds member management on top.	-
F-06	story	2	Arman	3	Must	Roles	Role management UI: create a role, toggle its eight permissions, assign it to a member	US-4.2;US-4.9	frontend/src/components/channels/RoleManager.jsx	feat/us-4-2-roles-ui	Controls the current user lacks permission for are hidden AND the server still rejects the request if called directly;the eight toggles map one-to-one onto the model booleans;assigning a role updates the member list without a page reload	Moved off Amir to keep his sprint focused on the chat surfaces. This is the screen that demonstrates US-4.2 and US-8.1-8.3 at the Review, so it is worth building well: hiding a button is not a permission check, and INT-2's permission matrix deliberately bypasses this UI to prove the server enforces it.	-
INT-2	task	2	Arman	2	Must	Process	Sprint 2 verification: everything in INT-1 plus the sixteen-check permission matrix against the API	-	-	-	Everything in INT-1;for each of the eight permissions exercise one allowed case and one denied case against the API directly, bypassing the UI - sixteen checks;record the result in sprint-calendar.md	This is the single most likely thing for a grader to probe, because brief section 5.8 asks for access levels changeable without editing code and this is the only evidence that it is true. Use curl or the DRF browsable API, never the frontend - the whole point is proving the server refuses, not that the button is hidden.	-
INT-3	task	2	Arman	2	Must	Process	Final verification and release	-	-	-	Every known bug triaged - fixed now, or cut and recorded;full clean-clone run: clone, docker compose up, seed, walk every story in user_stories_en.tex;the nine modules exist and permissions are evaluated in roles;the release commit is tagged;the delivery bundle is signed off	Run on Aug 12 before the 18:00 freeze. Point 3 is brief Rule 12 - the report claims alignment with architecture.tex and ERD.tex, and a grader can disprove a false claim in five minutes, so check it rather than assert it.	-
RT-01	task	2	Arman	2	Nice	Real-time	Replace the in-memory channel layer with Redis; add Redis to compose	-	backend/core/settings.py;docker-compose.yml;backend/requirements.txt	feat/rt-01-redis-layer	Two backend workers can fan out to the same room;redis comes up in compose;removing redis degrades gracefully rather than crashing the app	Behind the Aug 11 gate. The consumer today uses InMemoryChannelLayer, so fan-out only works inside one process - fine for a demo on one machine, wrong the moment there is more than one worker.	-
RT-02	story	2	Arman	5	Nice	Real-time	Real-time gateway covering DMs, groups and channel topics; authenticated WebSocket connections; push on message-created	US-B1.1	backend/realtime/consumers.py;backend/realtime/routing.py;backend/common/events.py	feat/us-b1-1-realtime	An unauthenticated socket is rejected;a member of a conversation receives new messages with no refresh;a non-member receives nothing on that channel	US-B1.1: receive new messages in DMs, groups and channels in real time without pressing F5. Behind the Aug 11 gate. The existing ChatConsumer is group-only and takes user_id and username from the client JSON payload rather than self.scope['user'] - so the sender is client-asserted and anyone can impersonate anyone. Fix that first; it is the acceptance criterion, not a nicety.	-
C-02	story	2	Amirhossein	3	Must	Channels	Channel API: create (creator becomes admin), edit name/description/image, delete - each gated on the matching permission	US-4.1;US-4.7;US-4.10;US-6.1;US-6.2	backend/channels_app/serializers.py;backend/channels_app/views.py;backend/channels_app/urls.py	feat/us-4-1-channel-api	The creator ends up holding all eight permissions;editing needs can_edit_channel;deleting needs can_delete_channel;every gate is a call into roles.services, not an inline owner check	US-4.1 create a channel and become its admin; US-4.7 change channel information; US-4.10 delete the channel; US-6.1 and US-6.2 are the same two from the editing-and-deleting section. Depends on C-01 for the models and R-04 for the permission check.	-
C-03	story	2	Amirhossein	2	Must	Channels	Topic model and API; creating a topic requires can_create_topic; channel messages are scoped to a topic	US-4.5;US-2.3	backend/channels_app/models.py;backend/channels_app/views.py;backend/messaging/views.py	feat/us-4-5-topics	A member without can_create_topic gets 403;messages posted in a topic are only visible in that topic;deleting a topic does not silently delete its messages without saying so	US-4.5 create topics so discussion is categorised; US-2.3: 'As a member of a channel, I want to be able to send and receive messages in the channel's topics.' user_stories_en.tex is explicit that a channel is a collection of topics and all members can exchange messages in them - the per-topic restriction is only on media (US-2.4).	-
C-04	story	2	Amirhossein	2	Must	Channels	Add and remove channel members directly, honouring the target user's allow_invites flag	US-4.3;US-4.4;SH.1;SH.2	backend/channels_app/views.py;backend/roles/services.py	feat/us-4-3-channel-members	Adding a user whose allow_invites is off returns 403 and the user is not added;the actor needs can_add_member;removing needs can_remove_member	US-4.3 remove a member, US-4.4 add a member, both with the appropriate permission. SH.1 records the team's decision to add users directly rather than through an invite link, and SH.2 is the user's right to refuse that - which is the allow_invites flag from A-03. Both halves have to be real: direct adding, and a flag that actually stops it.	-
SC-01	task	2	Amirhossein	2	Nice	Scheduling	Celery, Celery Beat and RabbitMQ added to compose; worker container starts clean	-	docker-compose.yml;backend/core/celery.py;backend/requirements.txt	feat/sc-01-celery-setup	docker compose up brings up a worker and a beat scheduler that both log ready;a trivial test task round-trips	Behind the Aug 11 gate. Time-box it: if the worker is not running within a few hours, say so at stand-up and drop the whole scheduling bonus rather than letting it eat the mandatory work.	-
SC-02	story	2	Amirhossein	3	Nice	Scheduling	scheduled_at on the message model; schedule, list and cancel endpoints	US-B2.1	backend/messaging/models.py;backend/scheduling/views.py;backend/scheduling/urls.py	feat/us-b2-1-schedule-api	A scheduled message is not visible to the recipient before its time;the author can list and cancel their pending ones;scheduling a time in the past is rejected	US-B2.1: 'As a user, I want to be able to compose a message and schedule it for delivery at a specific date and time.' Behind the Aug 11 gate. The filtering matters as much as the scheduling - a scheduled message that shows up early in the recipient's list is a failed story.	-
SC-03	story	2	Amirhossein	3	Nice	Scheduling	Beat task that dispatches due messages, delivering them even when the author is offline	US-B2.2	backend/scheduling/tasks.py	feat/us-b2-2-scheduled-delivery	Schedule a message, log out entirely and close the browser, and confirm at the scheduled time that it is delivered and the recipient is notified	US-B2.2 is the whole point of the feature - the message goes out whether or not the author is connected. Behind the Aug 11 gate. Demonstrate it at the Review exactly the way the acceptance criterion is written: logged out, browser closed.	-
M-06	story	2	Arvin	2	Must	Messaging	Edit own message, with an is_edited flag; only the author may edit	US-3.1;US-3.2	backend/messaging/models.py;backend/messaging/views.py;backend/messaging/serializers.py	feat/us-3-1-edit-message	Editing someone else's message returns 403;an edited message is visibly labelled;the original timestamp is preserved	US-3.1 edit your own message to fix a typo; US-3.2: 'I want only and exclusively myself to be able to edit my own sent message, so that no one can distort my message' - so this is not an admin capability, unlike deletion. MessageDetailView is a RetrieveDestroyAPIView today: no PUT, no PATCH, and no edited field on the model. Both need adding.	-
M-07	story	2	Arvin	1	Must	Messaging	Delete own message in any of the three contexts	US-3.3	backend/messaging/views.py	feat/us-3-3-delete-own-message	The author can delete in a DM, a group and a channel topic;deleting someone else's returns 403 unless R-05 grants it;the message disappears from history for everyone	US-3.3: 'As a regular user, I want to be able to delete my own sent message in a direct message, group or channel, so that an unnecessary or erroneous message is removed from the chat history.' The sender-scoped delete already exists; the work is extending it to the channel context and making sure it composes with R-05 rather than duplicating its checks.	-
M-08	story	2	Arvin	3	Must	Messaging	Search message text across DMs, groups and channels using PostgreSQL full-text search with a GIN index, scoped to the caller	US-9.1	backend/messaging/models.py;backend/messaging/views.py;backend/messaging/migrations/	feat/us-9-1-search	Results never include messages from conversations the caller is not in - verify by searching a term that only exists in a stranger's chat and confirming zero results;a search across a few thousand messages returns promptly;results say which conversation each hit is in	US-9.1: 'As a user, I want to be able to search through message texts in any chat (direct message, group or channel), so that I can quickly find the messages or information I am looking for.' Nothing search-shaped exists. This card is blocked on P-03 - SearchVector, SearchQuery and GinIndex are Postgres-only and do nothing on SQLite. architecture.tex deliberately chose Postgres full-text over a separate search engine, so no Elasticsearch.	-
M-09	story	2	Arvin	1	Must	Messaging	Wire the search screen to the search API	US-9.1	frontend/src/components/search/SearchMessages.jsx	feat/us-9-1-search-ui	Typing a term and submitting returns real results;clicking a result opens that conversation at that message;no results shows an empty state	SearchMessages.jsx exists as a static mockup with a hardcoded array. Replace the array with the M-08 endpoint.	-
N-01	story	2	Arvin	1	Must	Notifications	Notification model and migration	US-11.1	backend/notifications/models.py;backend/notifications/migrations/	feat/us-11-1-notification-model	A notification records recipient, kind, a reference to what caused it, read state and a timestamp;the migration applies clean	US-11.1 names exactly three trigger events: a new message, being added to a group or channel, and having your role in a channel changed. Model the kind as an enum covering those three rather than a free-text string.	N-02;U-11
N-02	story	2	Arvin	3	Must	Notifications	Generate notifications on new message, group/channel add, and role change; list and mark-read API	US-11.1	backend/notifications/services.py;backend/notifications/views.py;backend/common/events.py	feat/us-11-1-notification-api	The notification is created by an event emitted from the owning module, not by the messaging view calling notifications directly;a user only ever sees their own;mark-read is idempotent	US-11.1: 'As a user, I want to receive notifications when events occur - such as receiving a new message, being added to a group or channel, or having my role in a channel changed - so that I am kept informed of relevant activity without having to check manually.' The event indirection is architecture.tex section 5.1 and it is what lets the real-time bonus (RT-03) hook the same events without touching messaging.	-
D-01	task	2	Arvin	5	Must	Process	Phase 2 report: requirement fulfilment, architecture alignment, deviations, ERD alignment, process summary	-	docs/phase2-report.tex	docs/d-01-phase2-report	One table row per user story - the ID, the story, where it is implemented (module and endpoint) and how it was verified;a mapping onto architecture.tex;every deviation stated plainly with its reason;a mapping onto ERD.tex;a process summary covering both sprints, their velocities and what the retrospectives changed	Half the Phase 2 mark is the report on requirement fulfilment and alignment with the Phase 1 designs. Include the stories we cut, marked honestly - brief Rule 12 explicitly permits revising a design when issues arise, but a report claiming alignment a grader can disprove in five minutes is far worse than one that says what actually happened. Start drafting on Aug 11, not Aug 12. Arman writes the architecture sections.	-
